<story>Politics|Obama-plane-incident</story>
<start>20080815180659.616</start>
<end>20080815180758.608</end>
we | hear | the pilot 
FAA tapes | released | ABC News 
we | 'd like to declare | this an emergency 
we | 'd like | 3-9 
we | have | Senator Obama 
The crew | was having | trouble 
they | did | land 
An FAA spokeswoman | tells | CNN 
the National Transcription Safety Board | said | last month 
the National Transcription Safety Board | found | no evidence 
A Pennsylvania man | gets out | prison today 
a hard time | finding | a welcome mat 
33 years | served | child molestation 
