<story>Education|Teaching-kids-about-money</story>
<start>20080811133941.811</start>
<end>20080811134054.384</end>
they | head back | school 
Ali Velshi | has | lessons 
Author Troy Dunn | says step | one 
He | suggests having | kids 
your kids own money | to buy | a single share of stock 
Kids | love | Toys R Us 
Kids | love | Wal Mart 
Kids | love | Disney 
your child | understand | they 
Disney | is | a child 
kids | to learn | more 
They | get to figure | over time 
the world events | are happening | we 
the news | read about | the newspaper 
they | have | the stock market 
parents | could profit | the lessons 
